"","state","rate_2014","rate_2015","rate_2016","rate_2017","rate_2018","rate_2019","rate_2020"
"1","Alabama","63.6%","62%","61.2%","65.8%","68.2%","72.4%","78.3%"
"2","Alaska","42.1%","66.3%","76.1%","80.6%","78.6%","79.8%","74.2%"
"3","Arizona","74.3%","68.6%","73%","77.3%","80.2%","81.5%","83.1%"
"4","Arkansas","68.7%","68.4%","66.9%","71.3%","74.3%","72.7%","73.5%"
"5","California","43.4%","41.7%","43.3%","42.5%","40.2%","42.6%","48.2%"
"6","Colorado","69.4%","69%","66.3%","68.9%","67.8%","67.8%","71.1%"
"7","Connecticut","48.9%","50.4%","49.3%","52%","50.8%","51.2%","55%"
"8","Delaware","61.6%","61%","62%","59.2%","62.7%","66.4%","59.2%"
"9","District of Columbia","41.4%","40.4%","33.1%","36%","34.3%","35.9%","38.5%"
"10","Florida","52.8%","52.4%","52.7%","52.9%","50.3%","50.3%","53.1%"
"11","Georgia","54.5%","52.7%","52.5%","53.3%","51.6%","53.1%","60%"
"12","Hawaii","67.2%","74.3%","71.4%","73.3%","75.8%","62.7%","82%"
"13","Idaho","80.4%","82.7%","86.1%","84.7%","83%","81.7%","79.7%"
"14","Illinois","55.1%","56%","56.4%","57.2%","55.5%","54.7%","58%"
"15","Indiana","66.2%","66.2%","66.4%","66.6%","67.1%","68%","71.9%"
"16","Iowa","72.9%","71.2%","70.4%","72.1%","71.9%","72%","73.9%"
"17","Kansas","83.5%","84.9%","82%","83.3%","83.2%","80.7%","80.2%"
"18","Kentucky","73.1%","75.3%","76.7%","79.1%","78.1%","77.9%","78.7%"
"19","Louisiana","55.8%","59.5%","54.1%","51%","53.1%","50.8%","57.3%"
"20","Maine","59.5%","59.3%","58%","57.5%","51.4%","50%","51.6%"
"21","Maryland","46.9%","46.8%","45.6%","47%","47.9%","49.6%","55%"
"22","Massachusetts","46.3%","44.8%","45%","45%","42.5%","41.8%","44.5%"
"23","Michigan","63.9%","63.5%","63.8%","60.7%","63.3%","62.7%","65.1%"
"24","Minnesota","59.1%","57.8%","57.6%","59.9%","60.7%","62.5%","67.5%"
"25","Mississippi","69%","66.5%","64.2%","71.2%","73.3%","69.9%","76.8%"
"26","Missouri","58.6%","59.3%","58.9%","59.2%","58.3%","60.4%","62.1%"
"27","Montana","80.2%","80.1%","82.2%","83.4%","81.1%","80.9%","82.5%"
"28","Nebraska","72%","73%","73.8%","71.9%","76.4%","76.4%","75.1%"
"29","Nevada","82.8%","80.7%","80.6%","83.3%","84%","83.2%","82.8%"
"30","New Hampshire","62.4%","60.7%","61.7%","65.5%","61.9%","68.3%","73.9%"
"31","New Jersey","58.3%","59.1%","57.9%","59.6%","60.2%","62%","65.9%"
"32","New Mexico","55.5%","58.1%","56.8%","61.5%","66.9%","69.8%","75.3%"
"33","New York","49.2%","49.9%","50.2%","49.6%","49%","50.2%","53.4%"
"34","North Carolina","50.5%","51.5%","51.5%","53.2%","51.9%","54.2%","57.2%"
"35","North Dakota","79.8%","84.3%","81.5%","83.3%","81.9%","83.8%","86.9%"
"36","Ohio","65.6%","66%","66.1%","66.1%","66.4%","67.4%","70.6%"
"37","Oklahoma","69.8%","68.3%","65.4%","69.5%","70.5%","68.1%","74.4%"
"38","Oregon","70.8%","70.5%","70.6%","75.5%","78.5%","78.9%","80.9%"
"39","Pennsylvania","59.6%","58.5%","58.6%","59%","58.4%","60.3%","64.3%"
"40","Rhode Island","53.5%","53%","54%","52.4%","50.5%","50.2%","51.7%"
"41","South Carolina","62.1%","61.7%","62.7%","61.3%","60.5%","63.7%","67.2%"
"42","South Dakota","86.3%","81.1%","85%","85.6%","85.3%","83.4%","85.3%"
"43","Tennessee","60.2%","57.1%","59%","60.9%","62.3%","62.4%","62.9%"
"44","Texas","59.6%","58.7%","57.3%","59.5%","61.1%","61.6%","66.7%"
"45","Utah","74.6%","76.8%","74%","71.6%","75%","74%","80%"
"46","Vermont","65.7%","63.2%","63%","61.8%","61.7%","61.3%","64%"
"47","Virginia","51.5%","56.3%","58.3%","58.6%","61.8%","63%","64%"
"48","Washington","70.9%","69.6%","66.8%","68.3%","68.2%","71%","74.3%"
"49","West Virginia","72%","75.6%","73.4%","71.9%","75%","76.5%","81.5%"
"50","Wisconsin","74.4%","75.5%","68.9%","68.3%","67.5%","69.7%","72.1%"
"51","Wyoming","97.7%","95.7%","95.1%","96.8%","96%","96%","94.2%"
