"","state","tuition_4yr_public","tuition_4yr_private","tuition_2yr_public","state_funds","state_funds_1yr_delta","need_based_grants","non_need_based_grants","non_grant_aid","total_aid"
"1","Alabama",10227,22694,4841,1818933163,2.3,72423000,7729000,166000,80318000
"2","Alaska",8301,19871,NA,293953833,-10.1,5850000,10157000,11267000,27274000
"3","Arizona",10914,23090,2152,958019800,-4.5,28227000,0,412000,28639000
"4","Arkansas",8701,23498,3389,992064504,-2.8,1951000,111729000,1818000,115498000
"5","California",7595,40580,1267,15036459819,-7.9,2226968000,2422000,2335000,2231726000
"6","Colorado",8591,39470,3334,605253174,-45.3,142573000,6179000,37019000,185770000
"7","Connecticut",13839,45362,4516,1213567145,5.7,33628000,185000,114866000,148678000
"8","Delaware",10451,13634,NA,252761600,2.3,14107000,9683000,434000,24224000
"9","District of Columbia",5862,47646,NA,90303335,0,832000,31575000,0,32407000
"10","Florida",4322,29453,2506,5666721679,3.8,293267000,572058000,144493000,1009818000
"11","Georgia",7532,32337,3150,3653563451,-5.1,0,855762000,32680000,888442000
"12","Hawaii",10002,19180,3225,800008639,4.2,4635000,0,1013000,5648000
"13","Idaho",7467,6018,3333,533089200,2.2,14019000,299000,1186000,15504000
"14","Illinois",14399,37610,4038,4727133922,3.6,392339000,903000,4574000,397816000
"15","Indiana",9136,33152,4500,1780559953,-3.7,326649000,9605000,36736000,372990000
"16","Iowa",9379,33929,5291,844446037,-0.9,56434000,4170000,1951000,62555000
"17","Kansas",8914,28284,3530,835999188,-2.1,17691000,0,4750000,22441000
"18","Kentucky",10895,23979,4397,1164370900,3.3,116804000,139936000,1417000,258157000
"19","Louisiana",9483,37920,4158,1112604028,-8.3,28413000,303080000,317000,331810000
"20","Maine",9960,38906,3777,314428370,-1.4,14998000,825000,1722000,17545000
"21","Maryland",9154,46842,4320,2156413474,-1.5,102092000,3909000,2222000,108223000
"22","Massachusetts",13643,47302,5339,1752578550,4.1,100107000,1973000,43893000,145973000
"23","Michigan",13099,27112,3647,1999566600,12.8,120475000,1094000,70000,121639000
"24","Minnesota",11719,37896,5557,1709306000,0.5,218481000,3103000,80824000,302408000
"25","Mississippi",8602,19000,3434,962993443,0,23921000,17478000,764000,42162000
"26","Missouri",9057,25074,3517,923518968,-13.1,68345000,60603000,0,128949000
"27","Montana",6967,31153,3904,266829311,3.2,458000,0,816000,1274000
"28","Nebraska",8628,24165,3086,817103298,4.1,18974000,56000,2120000,21150000
"29","Nevada",5728,28090,NA,576049879,-17.8,13357000,38734000,20301000,72392000
"30","New Hampshire",16386,32512,7129,148255470,0.8,3e+06,1910000,0,4910000
"31","New Jersey",14142,40187,4783,2336710000,-1.1,478494000,7839000,150670000,637003000
"32","New Mexico",7139,21793,1702,888046000,-4.7,19264000,60368000,9164000,88796000
"33","New York",8292,39919,5477,6029448066,-1.4,895619000,46360000,214075000,1156054000
"34","North Carolina",7255,36689,2499,4374689662,0.4,313673000,8209000,69623000,391505000
"35","North Dakota",8636,16739,5050,379613257,0,9719000,9930000,1522000,21170000
"36","Ohio",9618,33664,4297,2379374333,-0.8,94342000,41165000,888000,136394000
"37","Oklahoma",7906,29614,4111,825414742,-3.5,88210000,6636000,13940000,108786000
"38","Oregon",10859,40410,4868,987957452,2.9,92770000,325000,82427000,175522000
"39","Pennsylvania",15640,40809,5335,1829911000,-0.8,389518000,3232000,23465000,416216000
"40","Rhode Island",13020,43335,4700,206717996,-3,10031000,0,0,10031000
"41","South Carolina",12398,26569,4892,1298482508,-0.3,71620000,347468000,2172000,421261000
"42","South Dakota",8921,26236,6504,258864361,-2.1,203000,6203000,651000,7057000
"43","Tennessee",10139,29918,4379,2186458446,-0.5,110024000,314480000,29809000,454313000
"44","Texas",8374,36339,2356,8056984035,1.7,1021650000,0,180963000,1202613000
"45","Utah",6719,7390,3929,1212585600,-1.1,2080000,17171000,159637000,178888000
"46","Vermont",16972,44372,6654,125150893,28,20809000,83000,562000,21454000
"47","Virginia",13603,22862,5240,2475376047,7.6,493839000,91608000,258569000,844016000
"48","Washington",7147,40280,4417,2475329000,11.2,373272000,12445000,18013000,403730000
"49","West Virginia",8134,26679,4322,528096960,1.9,41416000,47769000,34312000,123497000
"50","Wisconsin",8674,34633,4478,1593319600,1.1,122298000,3822000,8935000,135055000
"51","Wyoming",4747,NA,4137,383462985,-1.6,18110000,0,0,18110000
