"","state","total","public_4year","public_2year","private_np_4yr","private_np_2yr","private_fp_4yr","private_fp_2yr"
"1","Alabama","62","14","24","19","0","3","2"
"2","Alaska","8","4","0","2","1","0","1"
"3","Arizona","68","9","20","12","1","15","11"
"4","Arkansas","54","12","22","14","4","1","1"
"5","California","416","49","102","145","5","68","47"
"6","Colorado","68","22","7","12","1","13","13"
"7","Connecticut","41","11","12","17","0","1","0"
"8","Delaware","8","3","0","3","1","1","0"
"9","District of Columbia","18","2","0","12","0","3","1"
"10","Florida","176","42","1","57","7","29","40"
"11","Georgia","113","27","23","33","4","11","15"
"12","Hawaii","17","4","6","4","0","2","1"
"13","Idaho","15","5","3","6","0","0","1"
"14","Illinois","156","12","48","78","2","8","8"
"15","Indiana","74","15","1","41","1","4","12"
"16","Iowa","56","3","16","34","0","2","1"
"17","Kansas","63","8","25","24","0","3","3"
"18","Kentucky","59","8","16","25","0","5","5"
"19","Louisiana","56","17","14","12","4","1","8"
"20","Maine","30","8","7","13","1","1","0"
"21","Maryland","53","14","16","20","0","1","2"
"22","Massachusetts","107","14","16","73","2","1","1"
"23","Michigan","92","22","24","39","0","1","6"
"24","Minnesota","84","12","32","32","1","6","1"
"25","Mississippi","34","8","15","9","n/a","1","1"
"26","Missouri","97","13","14","53","2","9","6"
"27","Montana","23","8","10","3","1","0","1"
"28","Nebraska","36","7","9","15","1","2","2"
"29","Nevada","22","7","0","4","0","4","7"
"30","New Hampshire","24","6","7","10","1","0","0"
"31","New Jersey","86","13","19","40","1","9","4"
"32","New Mexico","39","9","19","3","0","6","2"
"33","New York","301","45","36","173","17","18","12"
"34","North Carolina","135","17","58","48","1","8","3"
"35","North Dakota","20","9","5","5","0","1","0"
"36","Ohio","162","40","20","65","4","8","25"
"37","Oklahoma","51","17","13","13","2","1","5"
"38","Oregon","54","9","17","23","1","2","2"
"39","Pennsylvania","217","45","18","104","11","6","33"
"40","Rhode Island","14","2","1","11","0","0","0"
"41","South Carolina","66","14","19","24","0","3","6"
"42","South Dakota","22","8","5","6","0","3","0"
"43","Tennessee","86","10","13","42","3","10","8"
"44","Texas","244","53","56","67","5","28","35"
"45","Utah","30","7","1","9","2","10","1"
"46","Vermont","19","4","1","13","0","1","0"
"47","Virginia","111","17","24","38","2","16","14"
"48","Washington","74","37","6","20","2","6","3"
"49","West Virginia","42","13","9","10","0","4","6"
"50","Wisconsin","69","16","16","33","0","3","1"
"51","Wyoming","9","1","7","0","0","0","1"
