"","state","all","men","women","native_american","asian","black","hispanic","white","two_more_races"
"1","Alabama",56.5,51.8,60.2,57.1,71.8,37.2,55,65,51.3
"2","Alaska",37.1,35.1,38.7,20.7,28.2,27.6,25,42.5,31.9
"3","Arizona",47.1,46.5,47.6,28.1,67.1,21.7,46.5,51.7,47.5
"4","Arkansas",52.3,47.6,56.1,50.3,62.2,30.7,51.7,57.2,45.3
"5","California",70.3,67.7,72.2,56.6,80.2,49,63.4,73.8,70.5
"6","Colorado",59.2,56.4,62,33.5,69.1,42.4,48.9,62.3,56.1
"7","Connecticut",70.9,68.6,72.8,51.9,80.4,52,64,74,70.9
"8","Delaware",67.8,63.3,71,33.3,83.3,43.2,63.1,77.6,58.2
"9","District of Columbia",77,76.8,77.1,45.5,85.1,62.1,74.3,83.7,76.6
"10","Florida",63.4,57.5,68.5,47,77,48.5,64.2,67.1,58.9
"11","Georgia",54.2,49.3,58,33,68.1,43.7,52.3,58.4,52
"12","Hawaii",54.4,52.1,55.7,22.2,67.3,36.8,47.2,46.3,52.4
"13","Idaho",51.8,45.9,56.2,27.5,60,50,47.7,53.7,41.5
"14","Illinois",64.8,63.1,66.3,42.9,78.5,40.4,55.8,70.3,59.5
"15","Indiana",65.3,63.3,67.1,59.7,77.4,40.2,58.7,67,61
"16","Iowa",68.9,64.9,72.7,51.7,69.3,41,58.5,71.5,59.8
"17","Kansas",56.9,53.3,60.2,43.6,61.5,32.2,46.2,61.5,44.7
"18","Kentucky",54.2,48.8,58.7,46.9,68.3,38.5,53.2,56.3,44.9
"19","Louisiana",54.2,49.3,57.8,53,66.9,40.6,54.6,59.9,48.1
"20","Maine",61.5,59.5,63.2,22.4,79.5,56.8,59.6,61.4,61.2
"21","Maryland",71,69.2,72.7,72.4,82.5,53.8,73.4,76.6,66.9
"22","Massachusetts",76.1,73.4,78.2,64.1,83.6,64.6,71,76.2,75.4
"23","Michigan",66.1,62.6,69.3,40.1,79.6,40.2,57.2,68.9,57
"24","Minnesota",67.1,64.5,69.2,39.1,67.2,49.1,57.4,68.8,58
"25","Mississippi",54.7,49.6,58.4,51.4,68.7,38,55.7,65.9,42.7
"26","Missouri",60,56,63.4,33.3,78.9,37.9,57.1,62.9,52.3
"27","Montana",51.6,47.9,55.5,29.3,53.3,29.4,46.2,52.9,39.4
"28","Nebraska",59,53.4,64.3,27.3,69.4,35.4,50.6,61.7,44.9
"29","Nevada",51.1,47.7,53.7,19.2,56.7,31.9,44.5,57.4,45.5
"30","New Hampshire",66.4,64.6,67.8,66,84.5,46.9,63.8,67.6,62.1
"31","New Jersey",70.2,66.8,73.2,61.1,80.6,54.6,62.3,74.7,64.9
"32","New Mexico",47.7,43.3,51.6,26.7,64.9,38.4,45.7,52.4,49.3
"33","New York",69.7,66,73,54.7,71.9,57,62.1,72.9,69.4
"34","North Carolina",65.1,61,68.3,49.5,81.6,50,67.8,70.6,61.5
"35","North Dakota",57.6,54.2,61.5,28,50.7,32.3,44.7,59.8,39.2
"36","Ohio",61.1,57.3,64.5,44,74.6,37.8,56,63.8,49.6
"37","Oklahoma",53,49.6,56.1,39.1,65.7,33.3,48.7,57.5,45.9
"38","Oregon",64.4,60.5,67.7,47.3,72.5,48.7,60.3,65.4,64.7
"39","Pennsylvania",70.1,67.2,72.6,56,78.5,49,61.6,72.5,62.4
"40","Rhode Island",73.9,72.1,75.1,51.6,83.4,64.7,66.8,75,72.4
"41","South Carolina",62.2,58.6,65.1,48.6,73.2,43.1,59.5,68.7,55.6
"42","South Dakota",54.3,50.4,58.3,16.7,46.8,32.4,35.1,57.6,44.3
"43","Tennessee",56.4,51.8,60.2,47.7,73.3,39.2,57.1,60.1,55
"44","Texas",57.6,52.9,61.5,47.8,71.2,39.7,50.6,65.6,59.5
"45","Utah",55.2,46.3,60.5,26.7,65.6,19.4,44,59.1,52.9
"46","Vermont",70.3,66.2,74.6,50,76.3,62.7,68.4,70.9,65.9
"47","Virginia",68.7,65.3,71.4,48.5,78.9,50.8,62.9,73.7,64.8
"48","Washington",69,66.1,71.3,37.3,76.9,50.7,60.4,70.2,66.2
"49","West Virginia",49.8,46.9,52.8,26.2,50.4,32.7,43.6,52.2,47.2
"50","Wisconsin",66,63.3,68.2,40,64.5,40.7,54.3,68.3,58.1
"51","Wyoming",59.8,55.9,63.2,28.6,78.6,28.6,54.1,59.9,69
